ID,Label,Text,Selected_Text,Selected_Text_Sentiment,Time_of_Post,User_Age,Population,Land_Size,Population_Density
0,0,11 days till county raly  i had 2 tak 3 from 14 it took me a while,11 days till county raly  i had 2 tak 3 from 14 it took me a while,neutral,20,38,869601,1861,467
1,0," Wow, really? I didn`t know it was that serious.  Well that sucks. Texas must have been chock full of asbestos.",w it was that serious.  Well that sucks.,negative,9,59,5518087,342000,16
2,1,Relaxing with my daughter watching Friends,Relaxing,positive,14,69,5094118,51060,100
3,0,today we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and I`m definately NOT working this pm,today we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and I`m definately NOT working this pm,neutral,18,82,4105267,55960,73
4,0,_Aitana K ??? What??? No way!!!! No,K ??? What??? No way!!!! No,negative,8,13,11326616,106440,106
5,0,sitting around doing **** all....tired,sitting around doing **** all....tired,negative,12,25,1207359,9240,131
6,0, ask  to create a fake competetion and declare you the winner and then gift you a return ticket courtesy the producers.,te a fake competetion,negative,21,44,10708981,77240,139
7,1,Man with a kickin` top hat just left. Invited me to blues jams session put on by street musicians. HarpmanHatter.,Man with a kickin` to,positive,9,49,89561403,2267050,40
8,1,Laying on my bed. ONE spot smells like vanilla.  awesome,awesome,positive,15,64,5792202,42430,137
9,0,"eating nothing, drinking water, about to watch a movie, join me?","eating nothing, drinking water, about to watch a movie, join me?",neutral,22,81,988000,23180,43
10,1,"Just finishing shooting, can u believe it, but got the job done",but got the job done,positive,6,13,71986,750,96
11,0,Don`t know who U R anymore!!!,Don`t know who U R anymore!!!,neutral,16,30,10847910,48300,225
12,1,loving my new tv,loving my new tv,positive,21,37,17643054,248360,71
13,0,Im sad...there`s a for sale sign in front of my house!!,sad..,negative,6,53,102334404,995450,103
14,0,I have so much stuff in my car that I can just feel my MPG going in the toilet.,I can just feel my MPG going in the toilet.,negative,15,66,6486205,20720,313
15,0,Seems like i`m the only person over here doing postal voting for the upcoming election ... been there already twice to get the documents,Seems like i`m the only person over here doing postal voting for the upcoming election ... been there already twice to get the documents,neutral,21,75,1402985,28050,50
16,1, i`m not being mean,i`m not being mean,positive,10,18,3546421,101000,35
17,0,Has no idea wtf Twitter is about but willing to give it a go!  Going out for a bit!,Has no idea wtf,negative,15,21,1326535,42390,31
18,0,"Catching up on holiday expenses, and two weeks of Gift Grub","Catching up on holiday expenses, and two weeks of Gift Grub",neutral,23,32,1160164,17200,67
19,0," wow, honestly not surprising, every time they try to push that guy he gets injured","wow, honestly not surprising, every time they try to push that guy he gets injured",negative,9,49,114963588,1000000,115
20,0,WOOOOO!! Twitterberry is working again!! Good morning everyone,WOOOOO!! Twitterberry is working again!! Good morning everyone,neutral,14,66,896445,18270,49
21,0, so go back for more,so go back for more,neutral,23,76,5540720,304000,18
22,0, sorryyy milerz that i can`t vote i would love to vote but it doesn`t works i`m sad  and very frustraded  :@ :@ --__--,sad,negative,6,12,65273511,547557,119
23,0,They don`t know that I like him cause I`ve never ask them bout him.oh well I guess your right. I feel abit better now,They don`t know that I like him cause I`ve never ask them bout him.oh well I guess your right. I feel abit better now,neutral,12,29,2225734,257670,9
